date,open,high,low,close,volume
2024-10-01,10.00000,11.00000,6.08000,8.80000,324600
2024-10-02,6.75000,7.48100,6.09000,6.35000,232400
2024-10-03,6.50000,6.75000,5.41000,5.55000,109900
2024-10-04,5.55000,5.70000,3.90000,3.91000,213200
2024-10-07,3.95000,3.95300,2.59000,2.77000,242000
2024-10-08,2.79000,2.90000,2.22000,2.41000,203300
2024-10-09,2.40000,2.43000,1.77000,1.84900,196700
2024-10-10,1.90000,2.07000,1.75000,1.77000,138000
2024-10-11,2.77000,3.12000,2.26000,2.45000,47353500
2024-10-14,2.24000,2.34000,2.16000,2.23000,1900000
2024-10-15,2.16000,2.25000,1.88100,1.97000,829000
2024-10-16,2.00000,2.50000,1.97000,2.46000,1006500
2024-10-17,2.44000,2.60000,2.17000,2.17000,497900
2024-10-18,2.20000,2.24000,2.10000,2.14000,310600
2024-10-21,2.12000,2.19000,1.97000,2.02000,211400
2024-10-22,2.05000,2.08000,1.86000,1.91000,184200
2024-10-23,1.88000,1.98000,1.70000,1.76000,441500
2024-10-24,2.91000,2.93000,2.03000,2.16000,54982700
2024-10-25,2.06000,2.24000,2.05000,2.21000,2053900
2024-10-28,2.07000,2.28000,2.07000,2.11000,977200
2024-10-29,2.21000,2.21200,1.98000,2.06000,751300
2024-10-30,2.04000,2.21000,2.03000,2.13000,458700
2024-10-31,2.12000,2.19000,2.05000,2.08000,298100
2024-11-01,2.04000,2.23000,2.04000,2.16000,247800
2024-11-04,2.16000,2.18800,1.91000,1.96000,395300
2024-11-05,1.93000,2.09000,1.90000,2.08000,265300
2024-11-06,2.08000,2.10000,1.91000,1.96000,307200
2024-11-07,1.97000,2.02000,1.82000,1.96000,460600
2024-11-08,1.87000,2.00000,1.85000,1.98000,450200
2024-11-11,1.88000,2.10000,1.85000,2.06000,385300
2024-11-12,2.04000,2.06000,1.86000,1.90000,650800
2024-11-13,1.94000,1.96000,1.65000,1.78000,426200
2024-11-14,1.76000,1.85000,1.61000,1.72000,142000
2024-11-15,1.81000,1.81000,1.55000,1.67000,156600
2024-11-18,1.63000,1.64000,1.42000,1.45000,360600
2024-11-19,1.42000,1.53500,1.41000,1.52000,374000
2024-11-20,1.50000,1.54000,1.47000,1.52000,123600
2024-11-21,1.81000,1.85000,1.45000,1.65000,7816800
2024-11-22,1.63000,1.81000,1.58000,1.79000,801600
2024-11-25,1.89000,7.35000,1.88000,6.42000,116400500
2024-11-26,12.19000,12.43000,8.00000,10.30000,80371400
2024-11-27,8.69000,9.00000,7.42000,7.84000,7036500
2024-11-29,6.91000,9.75000,6.72000,8.85000,7199100
2024-12-02,8.66000,8.72000,7.26000,7.26000,1994100
2024-12-03,7.01000,7.08000,5.60000,7.00000,3231000
2024-12-04,6.43000,6.70000,5.86500,5.94000,1178700
2024-12-05,6.81000,7.14800,6.02000,6.09000,3417100
2024-12-06,6.43000,6.54800,6.09000,6.22000,1280000
2024-12-09,6.44000,6.44000,5.55000,5.87000,912700
2024-12-10,5.57000,6.70000,5.57000,6.67000,926000
2024-12-11,6.50000,6.51000,5.62000,5.69000,640100
2024-12-12,6.86000,7.76000,6.03000,7.29000,19377000
2024-12-13,7.00000,7.68000,6.50000,6.97000,1586700
2024-12-16,7.13000,8.25000,6.90000,7.76000,1971300
2024-12-17,8.00000,8.39000,6.80200,7.38000,1892900
2024-12-18,7.13000,7.13000,5.25000,6.00000,1304200
2024-12-19,6.68200,12.20000,6.19000,7.73000,8447500
2024-12-20,7.14000,9.96600,6.54000,7.72000,2945700
2024-12-23,7.85000,8.46000,7.78000,8.38000,1103200
2024-12-24,8.21000,8.36000,7.72000,7.99000,618100
2024-12-26,8.05000,8.56000,7.63500,7.98000,1201900
2024-12-27,8.28000,10.00000,7.65000,8.48000,2314400
2024-12-30,8.39000,9.47000,7.89300,9.13000,1456100
2024-12-31,9.00000,9.08000,7.10000,7.69000,1105400
2025-01-02,7.98000,8.15000,6.90300,7.58000,922500
