date,open,high,low,close,volume
2023-09-27,1.08000,1.16980,1.08000,1.12000,7259
2023-09-28,1.09000,1.15000,1.06000,1.08000,15759
2023-09-29,1.06000,1.14990,1.04000,1.05000,8559
2023-10-02,1.09000,1.09000,1.04320,1.08000,3546
2023-10-03,1.05000,1.08000,1.01000,1.01000,5744
2023-10-04,1.02000,1.06000,0.88000,0.97000,30493
2023-10-05,1.05000,1.05000,0.97000,0.97000,3629
2023-10-06,0.96500,1.05960,0.92640,0.92640,19687
2023-10-09,0.87000,1.04990,0.87000,1.00000,13747
2023-10-10,1.06000,1.14000,1.06000,1.08000,160574
2023-10-11,1.11000,1.18150,1.08000,1.18000,63150
2023-10-12,1.16000,1.29000,1.16000,1.22000,117972
2023-10-13,1.07000,1.24990,1.06000,1.09000,7379
2023-10-16,1.06000,1.20000,1.02000,1.17000,52286
2023-10-17,1.20000,1.21970,1.16000,1.17000,14822
2023-10-18,1.21000,1.26100,1.16710,1.25000,30159
2023-10-19,1.27000,1.33200,1.22000,1.25000,23361
2023-10-20,1.23000,1.30560,1.12000,1.20000,38992
2023-10-23,1.12000,1.26000,1.12000,1.25000,26498
2023-10-24,1.20000,1.23000,1.18000,1.23000,30097
2023-10-25,1.24000,1.24000,1.16000,1.16000,4017
2023-10-26,1.15000,1.18990,1.12000,1.18000,8718
2023-10-27,1.16000,1.23500,1.16000,1.23010,18123
2023-10-30,1.27000,1.30000,1.21990,1.25500,223194
2023-10-31,1.24010,1.24010,1.01000,1.05000,26503
2023-11-01,1.00000,1.17990,1.00000,1.12500,88120
2023-11-02,1.17860,1.30000,1.17000,1.29000,271592
2023-11-03,1.28960,1.43000,1.28960,1.39000,152368
2023-11-06,1.43000,1.44500,1.34800,1.40000,65240
2023-11-07,1.40000,1.41000,1.32000,1.35000,26152
2023-11-08,1.34000,1.39000,1.30150,1.32000,23345
2023-11-09,1.31000,1.33680,1.24000,1.24000,42336
2023-11-10,1.26000,1.26990,0.98000,1.20000,87047
2023-11-13,1.16000,1.33000,1.10000,1.21500,39652
2023-11-14,1.27010,1.32990,1.25000,1.26000,13966
2023-11-15,1.31000,1.31000,1.18380,1.24500,13147
2023-11-16,1.27980,1.28000,1.20000,1.23000,25587
2023-11-17,1.22000,1.23270,0.80000,1.04850,128637
2023-11-20,0.88000,1.09000,0.88000,1.05000,75795
2023-11-21,1.01000,1.09000,0.97000,1.04000,32554
2023-11-22,1.00000,1.07980,1.00000,1.06000,47731
2023-11-24,1.06000,1.11500,1.06000,1.11500,30624
2023-11-27,1.07000,1.14000,1.04000,1.05000,29157
2023-11-28,1.04100,1.12910,1.04100,1.07000,10042
2023-11-29,1.07190,1.10000,1.03000,1.04000,31497
2023-11-30,1.03000,1.06990,1.03000,1.06000,22798
2023-12-01,1.05000,1.09000,1.05000,1.08000,47950
2023-12-04,1.05000,1.10000,1.04000,1.05100,28616
2023-12-05,1.07000,1.09000,1.05000,1.06000,17224
2023-12-06,1.05500,1.10000,1.05500,1.09000,9350
2023-12-07,1.08000,1.15000,1.04000,1.06000,32165
2023-12-08,1.09000,1.14000,1.05000,1.05000,30299
2023-12-11,1.05000,1.11000,1.01000,1.02000,40358
2023-12-12,0.97000,1.00020,0.95010,0.97000,36710
2023-12-13,0.99570,1.05560,0.88380,0.99000,21734
2023-12-14,0.98990,1.06000,0.98990,1.06000,13544
2023-12-15,1.02800,1.04000,0.98000,1.03000,16160
2023-12-18,1.05000,1.08000,0.97010,1.02000,37920
2023-12-19,1.06000,1.13000,1.03010,1.12000,43468
2023-12-20,1.11120,1.21000,1.11120,1.18000,108708
2023-12-21,1.19000,1.23000,1.13100,1.18000,72412
2023-12-22,1.23000,1.35000,1.14000,1.24000,138082
2023-12-26,1.34000,1.34000,1.15000,1.15000,65518
2023-12-27,1.23000,1.25000,1.17150,1.22500,15967
2023-12-28,1.24000,1.24710,1.19990,1.22000,24641
2023-12-29,1.19000,1.25000,1.18000,1.18000,16542
2024-01-02,1.18000,1.25000,1.11840,1.24000,43288
2024-01-03,1.22000,1.22000,1.16000,1.16000,7725
2024-01-04,1.18000,1.20000,1.15290,1.17000,12079
2024-01-05,1.17000,1.19000,1.15000,1.15010,6200
2024-01-08,1.18000,1.24000,1.17000,1.19100,15511
2024-01-09,1.17930,1.24000,1.17000,1.21530,22051
2024-01-10,1.24000,1.24000,1.19000,1.21000,16566
2024-01-11,1.18310,1.20000,1.14000,1.16020,22477
2024-01-12,1.14130,1.18000,1.14130,1.15000,9138
2024-01-16,1.14000,1.17000,1.11000,1.13000,15407
2024-01-17,1.10470,1.14000,1.10000,1.13000,4223
2024-01-18,1.13000,1.13000,1.10000,1.10500,23799
2024-01-19,1.10310,1.18000,1.00000,1.12000,74279
2024-01-22,1.15800,1.15800,1.05000,1.06000,12490
2024-01-23,1.03160,1.12000,1.01000,1.06500,30923
2024-01-24,1.08500,1.10000,1.07500,1.08000,8497
2024-01-25,1.09920,1.13000,1.09920,1.10000,16313
2024-01-26,1.10500,1.11920,1.09010,1.11000,4079
2024-01-29,1.12000,1.14000,1.11000,1.12990,9416
2024-01-30,1.13000,1.14000,1.11000,1.14000,6586
2024-01-31,1.13990,1.14500,1.12130,1.14000,12997
2024-02-01,1.12860,1.13000,1.12860,1.13000,3200
2024-02-02,1.13000,1.14000,1.12000,1.12000,5606
2024-02-05,1.11000,1.28000,1.06000,1.15000,62073
2024-02-06,1.48000,1.90000,1.40000,1.78000,6526828
2024-02-07,1.82000,2.37000,1.80000,2.10000,1765316
2024-02-08,2.04000,2.12990,1.91000,2.07000,258387
2024-02-09,2.14000,2.14000,1.84010,1.92000,143381
2024-02-12,1.83000,2.27000,1.83000,2.09000,175031
2024-02-13,2.18000,2.18000,1.75000,1.84000,150768
2024-02-14,1.94000,1.94000,1.81000,1.90000,76534
2024-02-15,1.86000,2.10040,1.82510,1.96000,86720
2024-02-16,1.90000,2.02050,1.85000,1.91000,58190
2024-02-20,1.96000,2.24000,1.88000,2.20000,369857
2024-02-21,2.20000,2.32790,2.02000,2.15000,161292
2024-02-22,2.08000,2.19000,2.03030,2.12000,80524
2024-02-23,2.08000,2.08000,1.90000,1.91000,69888
2024-02-26,1.96000,1.96990,1.82000,1.83000,63570
2024-02-27,1.93000,1.94000,1.83450,1.90000,40312
2024-02-28,1.94000,1.94000,1.79010,1.80000,57937
2024-02-29,1.85000,2.09000,1.79000,2.05000,106382
2024-03-01,2.09000,2.09000,1.96000,2.06000,66388
2024-03-04,2.04000,2.14800,1.91170,2.10000,63540
2024-03-05,2.01000,2.12000,2.01000,2.08000,22668
2024-03-06,2.03000,2.09000,2.03000,2.05000,16853
2024-03-07,2.03000,2.42000,2.03000,2.28000,197757
2024-03-08,2.32000,2.32000,2.00000,2.05000,74406
2024-03-11,2.01000,2.06000,1.96000,2.00210,44166
2024-03-12,2.05000,2.08500,1.99000,2.03800,23282
2024-03-13,2.06000,2.09000,2.02180,2.04000,6949
2024-03-14,2.07000,2.09000,2.06000,2.06000,24823
2024-03-15,2.00000,2.15220,1.86010,1.93000,106362
2024-03-18,1.94000,2.08500,1.93000,1.93210,11275
2024-03-19,1.99000,2.23990,1.95000,1.97000,41091
2024-03-20,1.94000,2.16000,1.92500,2.15000,68084
2024-03-21,2.10000,2.23000,2.06000,2.18000,50095
2024-03-22,2.23000,2.23000,2.08000,2.15000,36478
2024-03-25,2.22000,2.22000,2.10000,2.15000,25578
2024-03-26,2.15000,2.28000,2.12000,2.27000,58128
2024-03-27,2.29000,2.39000,2.23010,2.37000,92663
2024-03-28,2.39000,2.80000,2.39000,2.66000,378140
2024-04-01,2.87000,2.96990,2.76000,2.85000,345203
2024-04-02,2.83000,2.85000,2.53000,2.63000,125885
2024-04-03,2.55000,2.55000,2.29000,2.34000,167582
2024-04-04,2.32000,2.41000,2.25000,2.26000,84278
2024-04-05,2.31000,2.42000,2.16000,2.18000,81788
2024-04-08,2.19000,2.31500,2.18740,2.24000,67749
2024-04-09,2.28500,2.32000,2.22000,2.28000,26855
2024-04-10,2.25000,2.30500,2.05000,2.22000,68847
2024-04-11,2.23000,2.45000,2.22010,2.37000,61751
2024-04-12,2.31010,2.47000,2.31000,2.45000,34044
2024-04-15,2.42000,2.59000,2.36000,2.38000,100756
2024-04-16,2.36000,2.48000,2.21000,2.27000,55830
2024-04-17,2.23010,2.31000,2.16000,2.19000,52843
2024-04-18,2.20390,2.22000,2.03320,2.07000,28959
2024-04-19,2.01000,2.24000,2.00000,2.10000,57082
2024-04-22,2.19000,2.22990,2.10000,2.16500,21457
2024-04-23,2.20000,2.27670,2.12000,2.21500,16042
2024-04-24,2.18000,2.20000,2.08000,2.20000,53219
2024-04-25,2.22000,2.39000,2.06000,2.20000,34464
2024-04-26,2.30000,2.30000,2.13000,2.27000,35814
2024-04-29,2.25000,2.28990,2.00010,2.09000,34562
2024-04-30,2.01000,2.11000,1.84990,2.10000,88648
2024-05-01,2.03000,2.10000,1.90000,1.97500,67353
2024-05-02,1.95000,2.06990,1.91010,1.96000,40251
2024-05-03,2.00000,2.07000,2.00000,2.04000,11050
2024-05-06,2.05000,2.08990,2.00000,2.07000,42757
2024-05-07,2.01000,2.17000,2.01000,2.15480,22821
2024-05-08,2.20000,2.23930,2.17000,2.20500,34268
2024-05-09,2.27000,2.39430,2.25010,2.32000,34627
2024-05-10,2.35000,2.37470,2.25970,2.29000,67490
2024-05-13,2.35000,2.36000,2.08000,2.23350,48791
2024-05-14,2.25000,2.35000,2.23000,2.32000,38156
2024-05-15,2.29000,2.31000,2.23000,2.23000,11629
2024-05-16,2.23000,2.30000,2.12400,2.23000,65848
2024-05-17,2.23000,2.30000,2.23000,2.30000,71848
2024-05-20,2.44000,3.87990,2.25000,3.85000,647370
2024-05-21,3.40000,3.60500,2.85200,3.30000,346224
2024-05-22,3.20000,3.50000,3.02300,3.44000,104437
2024-05-23,3.50000,3.75000,3.34000,3.73000,126546
2024-05-24,3.73000,3.73000,3.25400,3.43000,89533
2024-05-28,3.39000,3.50000,3.00000,3.07000,72297
2024-05-29,3.10000,3.15000,2.80000,3.04000,69403
2024-05-30,3.04000,3.04200,2.73000,2.94000,99018
2024-05-31,2.91000,3.23500,2.87000,3.10000,47051
2024-06-03,3.10000,3.28000,3.00010,3.16000,51432
2024-06-04,3.15000,3.38360,3.15000,3.27000,20244
2024-06-05,3.32000,3.34000,2.89010,3.11000,84280
2024-06-06,3.11000,3.28000,3.11000,3.15000,62031
2024-06-07,3.15000,3.15000,3.00010,3.05000,17037
2024-06-10,3.02000,3.04000,2.80010,2.93000,18827
2024-06-11,2.90000,2.94000,2.77500,2.89000,14908
2024-06-12,2.98000,2.98000,2.61000,2.94000,44223
2024-06-13,3.00000,3.00000,2.85000,2.90500,28731
2024-06-14,2.90000,2.92000,2.74000,2.74000,72496
2024-06-17,2.86000,2.98000,2.84500,2.98000,29954
2024-06-18,2.98000,3.30000,2.89000,2.90000,193582
2024-06-20,2.79000,3.03000,2.56070,2.60000,68332
2024-06-21,2.58000,2.60060,2.42000,2.43000,40960
2024-06-24,2.47000,2.92000,2.47000,2.92000,52034
2024-06-25,2.91000,2.92000,2.58000,2.76000,55753
2024-06-26,2.60000,2.89000,2.60000,2.64000,29950
2024-06-27,2.69000,2.69000,2.60000,2.67000,28470
2024-06-28,2.69000,2.70000,2.59000,2.59000,44826
2024-07-01,2.51000,2.65000,2.51000,2.57000,12228
2024-07-02,2.68000,2.70000,2.51000,2.51000,33603
2024-07-03,2.48000,2.61990,2.40000,2.40000,47010
2024-07-05,2.41010,2.53000,2.40000,2.48000,21476
2024-07-08,2.55000,2.55000,2.44250,2.50000,16336
2024-07-09,2.51000,2.52010,2.40010,2.49000,7488
2024-07-10,2.44570,2.57420,2.42010,2.43000,13392
2024-07-11,2.50000,2.50200,2.35000,2.44000,23528
2024-07-12,2.40000,2.40000,2.10000,2.28000,92775
2024-07-15,2.23000,2.27000,1.55000,1.60000,658264
2024-07-16,1.81000,2.02500,1.75000,2.00000,211629
2024-07-17,1.99000,2.10000,1.85000,1.86000,148763
2024-07-18,1.95000,2.11000,1.83240,2.03000,94976
2024-07-19,1.99000,1.99000,1.87000,1.92000,20311
2024-07-22,1.90000,2.05000,1.90000,1.98000,54302
2024-07-23,1.95000,2.03000,1.90000,1.93000,69386
2024-07-24,1.92000,1.96000,1.89000,1.90000,5112
2024-07-25,1.94000,1.97000,1.80000,1.80000,54256
2024-07-26,1.93000,1.97950,1.80000,1.86000,50420
2024-07-29,1.95000,2.08930,1.91000,2.05000,107296
2024-07-30,2.05000,2.07000,1.95000,1.95000,67671
2024-07-31,1.96000,1.99500,1.87000,1.90000,46867
2024-08-01,1.89000,1.89130,1.75000,1.79000,59026
2024-08-02,1.75000,1.83000,1.70000,1.79000,32186
2024-08-05,1.65000,1.85000,1.60200,1.73000,57926
2024-08-06,1.72000,1.84000,1.71500,1.80000,10865
2024-08-07,1.83500,1.83500,1.72000,1.72000,3860
2024-08-08,1.72500,1.77400,1.66000,1.66000,38253
2024-08-09,1.70000,1.74120,1.61960,1.71000,28989
2024-08-12,1.66000,1.86000,1.60000,1.69000,74190
2024-08-13,1.75660,1.78840,1.61000,1.64000,27502
2024-08-14,1.79890,1.79890,1.55350,1.56000,35179
2024-08-15,1.58000,1.70000,1.58000,1.70000,17666
2024-08-16,1.68500,1.75500,1.61000,1.65000,78555
2024-08-19,1.71000,1.95000,1.65000,1.86000,18245
2024-08-20,1.89000,1.98000,1.82000,1.88000,17832
2024-08-21,1.97940,1.97940,1.78000,1.86000,23415
2024-08-22,1.82000,1.93000,1.77000,1.85000,11142
2024-08-23,1.89000,1.89000,1.81000,1.84000,5560
2024-08-26,1.88000,1.90000,1.78000,1.83000,18549
2024-08-27,1.79000,1.87000,1.76000,1.80000,5535
2024-08-28,1.79000,1.79000,1.70000,1.70000,11341
2024-08-29,1.70000,1.73990,1.68000,1.70000,4505
2024-08-30,1.74000,1.78000,1.68000,1.73000,18546
2024-09-03,1.70000,1.73000,1.66500,1.71000,11390
2024-09-04,1.70000,1.77990,1.63000,1.64000,30931
2024-09-05,1.63000,1.75880,1.60020,1.65000,18776
2024-09-06,1.70000,1.79000,1.61000,1.61000,42059
2024-09-09,1.60000,1.66580,1.46000,1.53000,47373
2024-09-10,1.49000,1.53000,1.37000,1.45000,20942
2024-09-11,1.41000,1.49000,1.31010,1.45000,41842
2024-09-12,1.42000,1.61930,1.42000,1.51500,16707
2024-09-13,1.47000,1.51000,1.40000,1.42000,67390
2024-09-16,1.46000,1.54000,1.34500,1.41000,31547
2024-09-17,1.46520,1.53000,1.41050,1.49000,24381
2024-09-18,1.47000,1.55980,1.45000,1.47000,7504
2024-09-19,1.57990,1.58000,1.47000,1.50000,8136
2024-09-20,1.52000,1.52000,1.47100,1.50000,1365
2024-09-23,1.46000,1.52000,1.45000,1.48000,4233
2024-09-24,1.51250,1.52000,1.49500,1.50500,5369
2024-09-25,1.49500,1.51000,1.49500,1.51000,3301
2024-09-26,1.50000,1.56000,1.49980,1.54400,19823
2024-09-27,1.59000,1.59000,1.52000,1.59000,20079
2024-09-30,1.55000,1.55000,1.50000,1.50000,15933
2024-10-01,1.51000,1.52000,1.48010,1.52000,6865
2024-10-02,1.52000,1.52000,1.45500,1.50000,14907
2024-10-03,1.53000,1.54000,1.41000,1.44000,27707
2024-10-04,1.49000,1.49000,1.40000,1.44000,9509
2024-10-07,1.42000,1.44000,1.35000,1.38000,33800
2024-10-08,1.42500,1.48000,1.40590,1.48000,10453
2024-10-09,1.49870,1.59000,1.38000,1.45500,19309
2024-10-10,1.45000,1.51990,1.45000,1.51990,1814
2024-10-11,1.38000,1.50000,1.38000,1.40000,52867
2024-10-14,1.40000,1.45560,1.40000,1.41000,12165
2024-10-15,1.40000,1.60000,1.40000,1.60000,37160
2024-10-16,1.51060,1.56000,1.51060,1.55000,9593
2024-10-17,1.55000,1.55000,1.48500,1.52000,5144
2024-10-18,1.44000,1.55000,1.44000,1.53000,19352
2024-10-21,1.50030,1.51000,1.48000,1.48000,2302
2024-10-22,1.46000,1.46000,1.35000,1.35000,20496
2024-10-23,1.37000,1.40000,1.25000,1.29000,54890
2024-10-24,1.27000,1.32000,1.26000,1.30000,18909
2024-10-25,1.34500,1.44000,1.34500,1.41000,13435
2024-10-28,1.45000,1.45000,1.36010,1.39280,13185
2024-10-29,1.37000,1.44000,1.35000,1.41900,29163
2024-10-30,1.34000,1.40000,1.31000,1.34000,14902
2024-10-31,1.31000,1.34000,1.30000,1.32000,4706
2024-11-01,1.31000,1.33000,1.22000,1.24500,126200
2024-11-04,1.23000,1.26000,1.18000,1.21000,27736
2024-11-05,1.22000,1.23500,1.15000,1.18000,16880
2024-11-06,1.19080,1.30000,1.19000,1.19000,41831
2024-11-07,1.25000,1.25000,1.20510,1.23000,12755
2024-11-08,1.23940,1.33370,1.23500,1.33000,72047
2024-11-11,1.30000,1.30000,1.16060,1.22000,129847
2024-11-12,1.20000,1.22020,1.17000,1.19000,28706
2024-11-13,1.16000,1.20000,1.12000,1.12000,42682
2024-11-14,1.15000,1.20000,1.13400,1.19000,62308
2024-11-15,1.16500,1.18000,1.14090,1.15570,7134
2024-11-18,1.17000,1.22000,1.13000,1.16000,60467
2024-11-19,1.30000,1.55000,1.12000,1.23000,727982
2024-11-20,1.25000,1.36040,1.25000,1.34000,94934
2024-11-21,1.36000,1.50000,1.30000,1.36000,156041
2024-11-22,1.41000,1.50000,1.38000,1.40000,136995
2024-11-25,1.47000,1.53000,1.42000,1.53000,90797
2024-11-26,1.51010,1.78000,1.51010,1.72000,156456
2024-11-27,1.71000,1.77990,1.65000,1.72000,59541
2024-11-29,1.72000,1.72000,1.53000,1.64000,55799
2024-12-02,1.64000,1.65900,1.50510,1.56000,54068
2024-12-03,1.55000,1.56000,1.46000,1.50000,91787
2024-12-04,1.52000,1.66990,1.50000,1.50000,62597
2024-12-05,1.53300,1.59500,1.46000,1.55000,60134
2024-12-06,1.56100,1.61000,1.50000,1.55000,43369
2024-12-09,1.55000,1.68000,1.55000,1.63700,78371
2024-12-10,1.65000,1.69760,1.53070,1.66000,34288
2024-12-11,1.79000,1.79000,1.61000,1.67000,38924
2024-12-12,1.67000,1.67000,1.61500,1.65000,19794
2024-12-13,1.63000,1.71000,1.63000,1.70000,15645
2024-12-16,1.70000,1.70600,1.65000,1.68990,79403
2024-12-17,1.65000,1.76000,1.61000,1.68000,133109
2024-12-18,1.67000,1.76990,1.66000,1.70000,98074
2024-12-19,1.70000,1.77500,1.65500,1.72000,52473
2024-12-20,1.73000,1.73000,1.55000,1.62000,107869
2024-12-23,1.72000,1.98000,1.62000,1.98000,176448
2024-12-24,2.05000,2.06400,1.82000,1.95000,45759
2024-12-26,1.90000,1.97000,1.82000,1.92000,79417
2024-12-27,1.92000,2.15000,1.92000,2.13000,201366
2024-12-30,2.24000,2.30000,2.10000,2.16000,192182
2024-12-31,2.20000,2.43500,2.20000,2.33000,107454
2025-01-02,2.34000,2.34000,2.10560,2.13000,103283
