date,open,high,low,close,volume
2023-09-25,0.79000,0.79000,0.68000,0.74000,37100
2023-09-26,0.75000,0.75000,0.69500,0.73000,17800
2023-09-27,0.73500,0.78000,0.73000,0.74000,58100
2023-09-28,0.69000,0.78000,0.69000,0.73000,43600
2023-09-29,0.74000,0.80000,0.64000,0.70500,266300
2023-10-02,0.68900,0.69000,0.65300,0.66900,32700
2023-10-03,0.64000,0.68000,0.60000,0.60000,34500
2023-10-04,0.65600,0.66600,0.60000,0.62000,10900
2023-10-05,0.60000,0.63000,0.56900,0.60000,12600
2023-10-06,0.59000,0.60000,0.57000,0.59300,16900
2023-10-09,0.61100,0.61500,0.56100,0.61500,26400
2023-10-10,0.62000,0.65000,0.58000,0.65000,35200
2023-10-11,0.62000,0.64900,0.60000,0.64000,12900
2023-10-12,0.62000,0.68000,0.62000,0.66900,10400
2023-10-13,0.66400,0.66400,0.60700,0.63700,3500
2023-10-16,0.61000,0.62400,0.58000,0.58000,27300
2023-10-17,0.60300,0.60300,0.58000,0.58700,11400
2023-10-18,0.56000,0.57700,0.51100,0.53000,16100
2023-10-19,0.55000,0.68000,0.48600,0.62700,61800
2023-10-20,0.60900,0.65900,0.56000,0.60000,41900
2023-10-23,0.58000,0.61200,0.53400,0.59000,40900
2023-10-24,0.56400,0.65000,0.53600,0.55000,36800
2023-10-25,0.67000,0.67000,0.53500,0.53500,10700
2023-10-26,0.52000,0.59000,0.48700,0.51400,58000
2023-10-27,0.49100,0.53800,0.48500,0.48500,11100
2023-10-30,0.48700,0.54400,0.48500,0.52800,11500
2023-10-31,0.54500,0.54500,0.49500,0.50000,15700
2023-11-01,0.51000,0.52400,0.50000,0.51300,6900
2023-11-02,0.53900,0.55900,0.51500,0.51500,5200
2023-11-03,0.51000,0.53000,0.51000,0.52000,17700
2023-11-06,0.49000,0.54700,0.49000,0.50100,7400
2023-11-07,0.48500,0.52000,0.48500,0.51000,4600
2023-11-08,0.51000,0.52500,0.51000,0.52200,3200
2023-11-09,0.52500,0.52500,0.49000,0.51100,15500
2023-11-10,0.50000,0.52300,0.49000,0.52300,15900
2023-11-13,0.52300,0.64700,0.51000,0.56500,82600
2023-11-14,0.55400,0.59000,0.53000,0.54000,20100
2023-11-15,0.55000,0.79200,0.55000,0.78900,277300
2023-11-16,0.74000,0.82000,0.70000,0.77800,104300
2023-11-17,0.76500,1.01000,0.76500,0.98000,192800
2023-11-20,0.96000,1.00000,0.96000,0.97000,90700
2023-11-21,0.94500,0.98600,0.80000,0.88100,44300
2023-11-22,0.85500,0.87100,0.75000,0.86500,48900
2023-11-24,0.86000,0.90000,0.85000,0.90000,20000
2023-11-27,0.90000,0.91000,0.84100,0.90000,25200
2023-11-28,0.90000,0.90000,0.84000,0.89200,25800
2023-11-29,0.85900,0.95500,0.85900,0.90000,208600
2023-11-30,0.88300,0.93000,0.85500,0.91000,20600
2023-12-01,0.90000,0.90000,0.84000,0.88300,30600
2023-12-04,0.87800,0.99000,0.87000,0.96000,102400
2023-12-05,0.96000,1.01000,0.85700,0.98000,219200
2023-12-06,0.96100,1.00000,0.88200,1.00000,84100
2023-12-07,1.01000,1.04000,0.95000,1.01000,155300
2023-12-08,1.02000,1.04000,0.95000,1.02000,68800
2023-12-11,1.00000,1.02000,0.97000,1.01000,66000
2023-12-12,1.00000,1.02900,0.93700,1.02000,175600
2023-12-13,1.01000,1.06000,0.97500,1.04000,67700
2023-12-14,1.01000,1.04000,1.00900,1.04000,39400
2023-12-15,1.03000,1.05000,1.01000,1.04000,62700
2023-12-18,1.09000,1.35000,1.04500,1.15000,894200
2023-12-19,1.29000,1.29000,1.05000,1.07000,120500
2023-12-20,1.14000,1.16000,1.04000,1.07000,74100
2023-12-21,1.04000,1.10000,1.04000,1.06000,23700
2023-12-22,1.10000,1.10200,1.04000,1.10000,50500
2023-12-26,1.12000,1.19000,1.09000,1.09000,132200
2023-12-27,1.11000,1.12000,1.03000,1.06000,64000
2023-12-28,1.11000,1.11000,1.04900,1.08100,114600
2023-12-29,1.10000,1.11100,0.98000,0.98000,164000
2024-01-02,0.98000,1.05000,0.90600,1.00900,84600
2024-01-03,0.96000,1.01000,0.86000,0.97000,71900
2024-01-04,1.00000,1.00000,0.95000,0.97500,24600
2024-01-05,0.98500,0.98500,0.77100,0.92400,61400
2024-01-08,0.83800,0.86500,0.72000,0.80000,76100
2024-01-09,0.92600,0.94400,0.85000,0.88000,195600
2024-01-10,0.90000,0.91900,0.80100,0.87800,114100
2024-01-11,0.90000,0.93000,0.86000,0.87500,124200
2024-01-12,0.86000,0.87500,0.83000,0.84000,31400
2024-01-16,0.83000,0.83000,0.71200,0.75000,86200
2024-01-17,0.70000,0.75000,0.68100,0.73000,37400
2024-01-18,0.67000,0.73000,0.63000,0.67000,63600
2024-01-19,0.65000,0.72000,0.65000,0.67000,21500
2024-01-22,0.67000,0.68000,0.60000,0.62300,185500
2024-01-23,0.60500,0.73000,0.60500,0.70100,33000
2024-01-24,0.73600,0.77800,0.71000,0.75100,47000
2024-01-25,0.75000,0.79900,0.75000,0.76400,7600
2024-01-26,0.74100,0.81600,0.74100,0.80000,22400
2024-01-29,0.77000,0.85000,0.77000,0.77000,11900
2024-01-30,0.77000,0.79000,0.75000,0.75000,15300
2024-01-31,0.79000,0.79000,0.75000,0.76400,9300
2024-02-01,0.74000,0.77000,0.71300,0.74000,18800
2024-02-02,0.77000,0.77000,0.72000,0.72200,10100
2024-02-05,0.73200,0.76700,0.69800,0.72000,12200
2024-02-06,0.74000,0.74000,0.69300,0.74000,8700
2024-02-07,0.73000,0.73000,0.68000,0.71300,7000
2024-02-08,0.74000,0.75000,0.68000,0.73500,89400
2024-02-09,0.74000,0.77000,0.72500,0.77000,33700
2024-02-12,0.73000,0.78000,0.73000,0.78000,35000
2024-02-13,0.79000,0.83000,0.75000,0.79300,36600
2024-02-14,0.80500,0.85000,0.79000,0.82000,13800
2024-02-15,0.80000,0.80000,0.74000,0.76000,29400
2024-02-16,0.76000,0.79100,0.73000,0.76000,49100
2024-02-20,0.79800,0.88300,0.79800,0.80100,36000
2024-02-21,0.81000,0.81000,0.73200,0.74500,37300
2024-02-22,0.75500,0.80600,0.73500,0.75000,21300
2024-02-23,0.73500,0.79900,0.70800,0.71000,44400
2024-02-26,0.70000,0.70900,0.62000,0.69000,57200
2024-02-27,0.70000,0.70000,0.65000,0.66100,16700
2024-02-28,0.71200,0.71200,0.60000,0.63900,51000
2024-02-29,0.66900,0.66900,0.60000,0.63500,19400
2024-03-01,0.60000,0.70000,0.60000,0.66000,18300
2024-03-04,0.66000,0.69900,0.63600,0.66000,23600
2024-03-05,0.63600,0.73900,0.63600,0.68000,15000
2024-03-06,0.65100,0.68000,0.65100,0.66400,16200
2024-03-07,0.66400,0.71000,0.60100,0.71000,58700
2024-03-08,0.65000,0.71000,0.65000,0.65100,15200
2024-03-11,0.63000,0.67800,0.62100,0.65500,25300
2024-03-12,0.66200,0.67500,0.65000,0.66000,11800
2024-03-13,0.63900,0.69200,0.63900,0.69200,45000
2024-03-14,0.70000,0.70000,0.65500,0.68100,11800
2024-03-15,0.68700,0.70000,0.65000,0.68000,13700
2024-03-18,0.66000,0.67000,0.64600,0.65000,10400
2024-03-19,0.64800,0.65700,0.61000,0.64000,19900
2024-03-20,0.62000,0.65000,0.48600,0.59500,49500
2024-03-21,0.58000,0.62400,0.58000,0.61500,23000
2024-03-22,0.59500,0.62300,0.58000,0.59000,23100
2024-03-25,0.59000,0.62200,0.59000,0.62200,8800
2024-03-26,0.51200,0.63000,0.51200,0.55500,89800
2024-03-27,0.52900,0.59400,0.52900,0.58100,24500
2024-03-28,0.61800,0.62900,0.57100,0.58500,17900
2024-04-01,0.61000,0.62500,0.60500,0.61000,16000
2024-04-02,0.61500,0.62500,0.56000,0.60000,19100
2024-04-03,0.57000,0.62400,0.57000,0.59000,12000
2024-04-04,0.59000,0.61000,0.58700,0.61000,14100
2024-04-05,0.58400,0.62000,0.58400,0.58700,6800
2024-04-08,0.58000,0.62000,0.58000,0.62000,42500
2024-04-09,0.62000,0.67000,0.59700,0.64000,112600
2024-04-10,0.63600,0.67000,0.62200,0.66500,26800
2024-04-11,0.64400,0.67000,0.64000,0.64800,6700
2024-04-12,0.64000,0.66000,0.64000,0.64500,12400
2024-04-15,0.67000,0.67000,0.65000,0.66000,2400
2024-04-16,0.65600,0.67000,0.61800,0.64100,12400
2024-04-17,0.63100,0.67500,0.63000,0.63000,8400
2024-04-18,0.61000,0.63000,0.60000,0.60000,14200
2024-04-19,0.57100,0.68000,0.57100,0.62000,12800
2024-04-22,0.67000,0.67400,0.60000,0.65400,9600
2024-04-23,0.64100,0.68000,0.64100,0.66000,6700
2024-04-24,0.63400,0.66900,0.60000,0.61000,17900
2024-04-25,0.61000,0.66000,0.60000,0.65000,6700
2024-04-26,0.65000,0.65000,0.60000,0.62400,27000
2024-04-29,0.62000,0.64100,0.60000,0.62600,34800
2024-04-30,0.66000,0.67500,0.64000,0.67500,24600
2024-05-01,0.67500,0.67700,0.65500,0.65500,13400
2024-05-02,0.66600,0.67700,0.66600,0.67700,1800
2024-05-03,0.65200,0.67700,0.65200,0.66300,10200
2024-05-06,0.63400,0.66000,0.62000,0.64300,8300
2024-05-07,0.73000,0.87000,0.65000,0.73300,4577100
2024-05-08,0.67700,0.84600,0.67000,0.79300,208800
2024-05-09,0.80000,0.84600,0.73700,0.80700,143100
2024-05-10,0.80500,0.80500,0.73900,0.75000,60400
2024-05-13,0.79000,0.79000,0.63100,0.70800,54600
2024-05-14,0.60800,0.71000,0.60800,0.69500,24400
2024-05-15,0.65800,0.67500,0.60800,0.67000,42000
2024-05-16,0.62000,0.69000,0.61000,0.69000,39700
2024-05-17,0.70900,0.75000,0.68000,0.75000,22800
2024-05-20,0.68600,0.75800,0.68600,0.73400,15200
2024-05-21,0.70000,0.74600,0.63500,0.74200,65200
2024-05-22,0.67600,0.69900,0.62500,0.69600,15200
2024-05-23,0.64800,0.69400,0.64800,0.68000,7100
2024-05-24,0.67600,0.67600,0.64800,0.64800,3700
2024-05-28,0.60000,0.65000,0.60000,0.65000,16900
2024-05-29,0.62000,0.63000,0.60000,0.61200,21500
2024-05-30,0.62300,0.64900,0.57000,0.59800,42700
2024-05-31,0.58300,0.62000,0.57000,0.57500,25900
2024-06-03,0.58100,0.59000,0.57400,0.57400,11600
2024-06-04,0.59000,0.59000,0.41000,0.51900,119000
2024-06-05,0.52000,0.52000,0.49000,0.49900,58900
2024-06-06,0.49000,0.50600,0.48000,0.49500,41500
